at,organization,endpoints,cache_metered,cache_percent
2026-02-01T00:00:00.000Z,Alibaba,20,6,30.0
2026-02-01T00:00:00.000Z,Amazon Bedrock,20,11,55.0
2026-02-01T00:00:00.000Z,Anthropic,10,10,100.0
2026-02-01T00:00:00.000Z,Arcee AI,2,0,0.0
2026-02-01T00:00:00.000Z,AtlasCloud,32,30,93.75
2026-02-01T00:00:00.000Z,Azure,22,15,68.18181818181819
2026-02-01T00:00:00.000Z,BaseTen,7,0,0.0
2026-02-01T00:00:00.000Z,Cerebras,6,6,100.0
2026-02-01T00:00:00.000Z,Chutes,52,0,0.0
2026-02-01T00:00:00.000Z,Cirrascale,1,0,0.0
2026-02-01T00:00:00.000Z,Clarifai,3,0,0.0
2026-02-01T00:00:00.000Z,Cloudflare,14,0,0.0
2026-02-01T00:00:00.000Z,Cohere,4,0,0.0
2026-02-01T00:00:00.000Z,Crusoe,6,6,100.0
2026-02-01T00:00:00.000Z,DeepInfra,62,11,17.741935483870968
2026-02-01T00:00:00.000Z,DeepSeek,1,1,100.0
2026-02-01T00:00:00.000Z,Featherless,2,0,0.0
2026-02-01T00:00:00.000Z,Fireworks,16,16,100.0
2026-02-01T00:00:00.000Z,Friendli,8,0,0.0
2026-02-01T00:00:00.000Z,GMICloud,5,0,0.0
2026-02-01T00:00:00.000Z,Google,51,38,74.50980392156863
2026-02-01T00:00:00.000Z,Google AI Studio,16,10,62.5
2026-02-01T00:00:00.000Z,Groq,12,8,66.66666666666667
2026-02-01T00:00:00.000Z,Hyperbolic,16,0,0.0
2026-02-01T00:00:00.000Z,Inception,2,0,0.0
2026-02-01T00:00:00.000Z,Inceptron,2,0,0.0
2026-02-01T00:00:00.000Z,Infermatic,3,0,0.0
2026-02-01T00:00:00.000Z,Inflection,2,0,0.0
2026-02-01T00:00:00.000Z,Liquid,4,0,0.0
2026-02-01T00:00:00.000Z,Mancer 2,7,0,0.0
2026-02-01T00:00:00.000Z,Minimax,6,3,50.0
2026-02-01T00:00:00.000Z,Mistral,24,0,0.0
2026-02-01T00:00:00.000Z,ModelRun,5,0,0.0
2026-02-01T00:00:00.000Z,Moonshot AI,8,7,87.5
2026-02-01T00:00:00.000Z,Morph,2,0,0.0
2026-02-01T00:00:00.000Z,NCompass,6,0,0.0
2026-02-01T00:00:00.000Z,Nebius,33,2,6.0606060606060606
2026-02-01T00:00:00.000Z,NextBit,18,0,0.0
2026-02-01T00:00:00.000Z,Novita,63,21,33.333333333333336
2026-02-01T00:00:00.000Z,Nvidia,3,0,0.0
2026-02-01T00:00:00.000Z,OpenAI,51,31,60.78431372549019
2026-02-01T00:00:00.000Z,OpenInference,6,0,0.0
2026-02-01T00:00:00.000Z,Parasail,27,0,0.0
2026-02-01T00:00:00.000Z,Perplexity,5,0,0.0
2026-02-01T00:00:00.000Z,Phala,7,0,0.0
2026-02-01T00:00:00.000Z,Relace,2,0,0.0
2026-02-01T00:00:00.000Z,SambaNova,12,0,0.0
2026-02-01T00:00:00.000Z,Seed,2,0,0.0
2026-02-01T00:00:00.000Z,SiliconFlow,36,0,0.0
2026-02-01T00:00:00.000Z,StreamLake,1,1,100.0
2026-02-01T00:00:00.000Z,Switchpoint,1,0,0.0
2026-02-01T00:00:00.000Z,Together,47,0,0.0
2026-02-01T00:00:00.000Z,Upstage,1,0,0.0
2026-02-01T00:00:00.000Z,Venice,10,2,20.0
2026-02-01T00:00:00.000Z,WandB,8,7,87.5
2026-02-01T00:00:00.000Z,Xiaomi,1,1,100.0
2026-02-01T00:00:00.000Z,Z.AI,10,8,80.0
2026-02-01T00:00:00.000Z,xAI,12,12,100.0
2026-03-01T00:00:00.000Z,AI21,1,0,0.0
2026-03-01T00:00:00.000Z,AionLabs,4,1,25.0
2026-03-01T00:00:00.000Z,Alibaba,37,7,18.91891891891892
2026-03-01T00:00:00.000Z,Amazon Bedrock,23,14,60.869565217391305
2026-03-01T00:00:00.000Z,Ambient,1,0,0.0
2026-03-01T00:00:00.000Z,Anthropic,9,9,100.0
2026-03-01T00:00:00.000Z,Arcee AI,3,0,0.0
2026-03-01T00:00:00.000Z,AtlasCloud,36,35,97.22222222222223
2026-03-01T00:00:00.000Z,Azure,23,16,69.56521739130434
2026-03-01T00:00:00.000Z,BaseTen,5,0,0.0
2026-03-01T00:00:00.000Z,Cerebras,3,3,100.0
2026-03-01T00:00:00.000Z,Chutes,19,19,100.0
2026-03-01T00:00:00.000Z,Cirrascale,1,0,0.0
2026-03-01T00:00:00.000Z,Clarifai,4,0,0.0
2026-03-01T00:00:00.000Z,Cloudflare,14,0,0.0
2026-03-01T00:00:00.000Z,Cohere,4,0,0.0
2026-03-01T00:00:00.000Z,Crusoe,6,6,100.0
2026-03-01T00:00:00.000Z,DeepInfra,63,16,25.396825396825395
2026-03-01T00:00:00.000Z,DeepSeek,1,1,100.0
2026-03-01T00:00:00.000Z,Featherless,2,0,0.0
2026-03-01T00:00:00.000Z,Fireworks,8,8,100.0
2026-03-01T00:00:00.000Z,Friendli,10,0,0.0
2026-03-01T00:00:00.000Z,GMICloud,2,0,0.0
2026-03-01T00:00:00.000Z,Google,54,35,64.81481481481481
2026-03-01T00:00:00.000Z,Google AI Studio,18,11,61.111111111111114
2026-03-01T00:00:00.000Z,Groq,12,8,66.66666666666667
2026-03-01T00:00:00.000Z,Hyperbolic,13,0,0.0
2026-03-01T00:00:00.000Z,Inception,2,0,0.0
2026-03-01T00:00:00.000Z,Inceptron,3,2,66.66666666666667
2026-03-01T00:00:00.000Z,Infermatic,3,0,0.0
2026-03-01T00:00:00.000Z,Inflection,2,0,0.0
2026-03-01T00:00:00.000Z,Io Net,1,1,100.0
2026-03-01T00:00:00.000Z,Ionstream,3,0,0.0
2026-03-01T00:00:00.000Z,Liquid,4,0,0.0
2026-03-01T00:00:00.000Z,Mancer 2,5,0,0.0
2026-03-01T00:00:00.000Z,Minimax,8,5,62.5
2026-03-01T00:00:00.000Z,Mistral,20,0,0.0
2026-03-01T00:00:00.000Z,ModelRun,1,1,100.0
2026-03-01T00:00:00.000Z,Moonshot AI,8,7,87.5
2026-03-01T00:00:00.000Z,Morph,2,0,0.0
2026-03-01T00:00:00.000Z,Nebius,28,0,0.0
2026-03-01T00:00:00.000Z,NextBit,20,1,5.0
2026-03-01T00:00:00.000Z,Novita,67,23,34.32835820895522
2026-03-01T00:00:00.000Z,Nvidia,3,0,0.0
2026-03-01T00:00:00.000Z,OpenAI,51,32,62.745098039215684
2026-03-01T00:00:00.000Z,OpenInference,4,0,0.0
2026-03-01T00:00:00.000Z,Parasail,27,0,0.0
2026-03-01T00:00:00.000Z,Perplexity,5,0,0.0
2026-03-01T00:00:00.000Z,Phala,7,0,0.0
2026-03-01T00:00:00.000Z,Relace,2,0,0.0
2026-03-01T00:00:00.000Z,SambaNova,13,0,0.0
2026-03-01T00:00:00.000Z,Seed,3,0,0.0
2026-03-01T00:00:00.000Z,SiliconFlow,33,5,15.151515151515152
2026-03-01T00:00:00.000Z,StepFun,2,1,50.0
2026-03-01T00:00:00.000Z,StreamLake,1,1,100.0
2026-03-01T00:00:00.000Z,Switchpoint,1,0,0.0
2026-03-01T00:00:00.000Z,Together,40,0,0.0
2026-03-01T00:00:00.000Z,Upstage,1,0,0.0
2026-03-01T00:00:00.000Z,Venice,13,4,30.76923076923077
2026-03-01T00:00:00.000Z,WandB,8,0,0.0
2026-03-01T00:00:00.000Z,Xiaomi,1,1,100.0
2026-03-01T00:00:00.000Z,Z.AI,11,9,81.81818181818181
2026-03-01T00:00:00.000Z,xAI,12,12,100.0
2026-04-01T00:00:00.000Z,AI21,1,0,0.0
2026-04-01T00:00:00.000Z,AionLabs,4,1,25.0
2026-04-01T00:00:00.000Z,AkashML,3,0,0.0
2026-04-01T00:00:00.000Z,Alibaba,39,8,20.512820512820515
2026-04-01T00:00:00.000Z,Amazon Bedrock,23,14,60.869565217391305
2026-04-01T00:00:00.000Z,Ambient,1,0,0.0
2026-04-01T00:00:00.000Z,Anthropic,9,9,100.0
2026-04-01T00:00:00.000Z,Arcee AI,2,0,0.0
2026-04-01T00:00:00.000Z,AtlasCloud,41,41,100.0
2026-04-01T00:00:00.000Z,Azure,30,23,76.66666666666667
2026-04-01T00:00:00.000Z,BaseTen,5,0,0.0
2026-04-01T00:00:00.000Z,Cerebras,1,1,100.0
2026-04-01T00:00:00.000Z,Chutes,16,16,100.0
2026-04-01T00:00:00.000Z,Cirrascale,1,0,0.0
2026-04-01T00:00:00.000Z,Clarifai,3,0,0.0
2026-04-01T00:00:00.000Z,Cloudflare,11,0,0.0
2026-04-01T00:00:00.000Z,Cohere,4,0,0.0
